year,ncessch,school_name,state_location,lea_name,school_level,school_type,charter,latitude,longitude,students_chronically_absent,read_test_num_valid,read_test_pct_prof_midpt,math_test_num_valid,math_test_pct_prof_midpt,grad_rate_midpt,school_id,seasch
mixed - most recent,1.10007E+11,Achievement Preparatory Academy PCS - Wahler Place ES,DC,Achievement Preparatory Academy PCS,Primary,Regular school,Yes,38.834302,-76.992384,106,62,17,62,17,,1100473,155-217
mixed - most recent,1.10007E+11,Achievement Preparatory Academy PCS - Wahler Place MS,DC,Achievement Preparatory Academy PCS,Missing/not reported,Regular school,Yes,38.834334,-76.992349,58,431,19,431,13,,1100405,155-1100
mixed - most recent,1.10003E+11,Aiton ES,DC,District of Columbia Public Schools,Primary,Regular school,No,38.896669,-76.933728,72,70,17,70,12,,1100122,001-202
mixed - most recent,1.10003E+11,Amidon-Bowen ES,DC,District of Columbia Public Schools,Primary,Regular school,No,38.879823,-77.018149,126,144,17,144,22,,1100121,001-203
mixed - most recent,1.10003E+11,Anacostia HS,DC,District of Columbia Public Schools,High,Regular school,No,38.86992,-76.982691,638,52,15,58,5,47,1100085,001-450
mixed - most recent,1.10005E+11,AppleTree Early Learning Center PCS - Columbia Heights,DC,AppleTree Early Learning PCS,Prekindergarten,Regular school,Yes,38.925304,-77.032604,,,,,,,1100304,103-140
mixed - most recent,1.10005E+11,AppleTree Early Learning Center PCS - Douglas Knoll,DC,AppleTree Early Learning PCS,Prekindergarten,Regular school,Yes,38.848622,-76.97456,,,,,,,1100447,103-3072
mixed - most recent,1.10005E+11,AppleTree Early Learning Center PCS - Lincoln Park,DC,AppleTree Early Learning PCS,Prekindergarten,Regular school,Yes,38.89149,-76.990651,,,,,,,1100448,103-3073
mixed - most recent,1.10005E+11,AppleTree Early Learning Center PCS - Oklahoma Avenue,DC,AppleTree Early Learning PCS,Prekindergarten,Regular school,Yes,38.89418,-76.975461,,,,,,,1100435,103-1137
mixed - most recent,1.10005E+11,AppleTree Early Learning Center PCS - Parklands at THEARC,DC,AppleTree Early Learning PCS,Prekindergarten,Regular school,Yes,38.843379,-76.97709,,,,,,,1100517,103-1069
mixed - most recent,1.10005E+11,AppleTree Early Learning Center PCS - Southwest,DC,AppleTree Early Learning PCS,Prekindergarten,Regular school,Yes,38.884556,-77.019024,,,,,,,1100413,103-141
mixed - most recent,1.10003E+11,Ballou HS,DC,District of Columbia Public Schools,High,Regular school,No,38.838443,-77.001373,1019,134,2.5,121,2.5,58,1100084,001-452
mixed - most recent,1.10003E+11,Ballou STAY HS,DC,District of Columbia Public Schools,High,Other/alternative school,No,38.838443,-77.001373,479,12,24.5,8,24.5,12,1100207,001-462
mixed - most recent,1.10003E+11,Bancroft ES,DC,District of Columbia Public Schools,Primary,Regular school,No,38.934502,-77.04055,47,200,52,200,52,,1100120,001-204
mixed - most recent,1.10003E+11,Bard HS Early College DC (Bard DC),DC,District of Columbia Public Schools,High,Regular school,No,38.879051,-76.937371,,,,,,,1100529,001-1058
mixed - most recent,1.10003E+11,Barnard ES,DC,District of Columbia Public Schools,Primary,Regular school,No,38.94789,-77.01779,120,218,38,219,46,,1100119,001-205
mixed - most recent,1.10008E+11,BASIS DC PCS,DC,BASIS DC PCS,High,Regular school,Yes,38.895268,-77.023385,49,469,80,496,65,95,1100443,168-3068
mixed - most recent,1.10003E+11,Beers ES,DC,District of Columbia Public Schools,Primary,Regular school,No,38.864597,-76.955856,118,188,27,187,17,,1100118,001-206
mixed - most recent,1.10003E+11,Benjamin Banneker HS,DC,District of Columbia Public Schools,High,Regular school,No,38.923709,-77.023959,105,122,97.5,137,82,97,1100153,001-402
