HUD_ID,PROJECT,PROJ_ADD,PROJ_CTY,PROJ_ST,PROJ_ZIP,LATITUDE,LONGITUDE,FIPS2010,N_UNITS,LI_UNITS,YR_PIS,YR_ALLOC,TYPE,BASIS,NONPROG
DCB00000001,3121 MT PLEASANT STREET,3121 MOUNT PLEASANT ST NW,WASHINGTON,DC,20010,38.92929459,-77.03735352,2702,12,,8888,8888,,,
DCB00000004,EAST CAPITOL FAMILY RENTAL - NON ACC,5725 E CAPITOL ST SE,WASHINGTON,DC,20019,38.88950729,-76.91932678,9903,83,,8888,8888,,,
DCB00000005,FENDALL HEIGHTS,2025 FENDALL ST SE,WASHINGTON,DC,20020,38.86465836,-76.98007202,7504,27,,8888,8888,,,
DCB00000008,HARRY JANETTE WEINBERG,1151 NEW JERSEY AVE NW,WASHINGTON,DC,20001,38.90494919,-77.01439667,4701,27,,8888,8888,,,
DCB00000009,KETTLER - WOODMONT CROSSING,2311 GOOD HOPE CT SE,WASHINGTON,DC,20020,38.86142349,-76.97362518,7502,155,,8888,8888,,,
DCB00000010,MARIAN HOUSE,525 MELLON ST SE,WASHINGTON,DC,20032,38.84657669,-76.9992218,10400,42,,8888,8888,,,
DCB00000011,MARIAN RUSSELL,MARIAN RUSSELL,WASHINGTON,DC,,,,11XXXX,9,,8888,8888,,,
DCB00000012,MARIETTA,2418 17TH ST NW,WASHINGTON,DC,20009,38.92198563,-77.03913879,3800,17,,8888,8888,,,
DCB00000013,MOZART,1630 FULLER ST NW,WASHINGTON,DC,20009,38.92454147,-77.03786469,3800,29,,8888,8888,,,
DCB00000014,NEW BEGINNINGS,NEW BEGINNINGS,WASHINGTON,DC,,,,11XXXX,13,,8888,8888,,,
DCB00000015,PARK 7,4020 MINNESOTA AVE NE,WASHINGTON,DC,20019,38.89574814,-76.94889069,7803,213,,8888,8888,,,
DCB00000017,RITZ APTS,1631 EUCLID ST NW,WASHINGTON,DC,20009,38.92335892,-77.03813934,3800,58,,8888,8888,,,
DCB00000018,SANKOFA,SANKOFA,WASHINGTON,DC,,,,11XXXX,25,,8888,8888,,,
DCB00000019,SORRENTO,2233 18TH ST NW,WASHINGTON,DC,20009,38.91940689,-77.04147339,3800,23,,8888,8888,,,
DCB00000020,SOUTHVIEW,3627 22ND ST SE,WASHINGTON,DC,20020,38.84466934,-76.97278595,7409,250,,8888,8888,,,
DCB00000022,THE PENTACLE,PENTACLE,WASHINGTON,DC,,,,11XXXX,105,,8888,8888,,,
DCB00000023,THE VANTAGE & THE PARK,601 EDGEWOOD ST NE,WASHINGTON,DC,20017,38.92418289,-76.99770355,9204,34,,8888,8888,,,
