matches_filters,acs_lower_rent_quartile_census_tract,acs_lower_rent_quartile_neighborhood_cluster,acs_lower_rent_quartile_ward,acs_median_rent_census_tract,acs_median_rent_neighborhood_cluster,acs_median_rent_ward,acs_upper_rent_quartile_census_tract,acs_upper_rent_quartile_neighborhood_cluster,acs_upper_rent_quartile_ward,added_to_catalog,anc,bldg_count,building_permits_census_tract,building_permits_neighborhood_cluster,building_permits_rate_census_tract,building_permits_rate_neighborhood_cluster,building_permits_rate_ward,building_permits_ward,bus_routes_nearby,cat_at_risk,cat_expiring,cat_failing_insp,cat_lost,cat_more_info,cat_replaced,category_code,census_tract,census_tract_2010,construction_permits_census_tract,construction_permits_neighborhood_cluster,construction_permits_rate_census_tract,construction_permits_rate_neighborhood_cluster,construction_permits_rate_ward,construction_permits_ward,contract_number,crime_count_census_tract,crime_count_neighborhood_cluster,crime_count_ward,crime_rate_census_tract,crime_rate_neighborhood_cluster,crime_rate_ward,fraction_black_census_tract,fraction_black_neighborhood_cluster,fraction_black_ward,fraction_foreign_census_tract,fraction_foreign_neighborhood_cluster,fraction_foreign_ward,fraction_single_mothers_census_tract,fraction_single_mothers_neighborhood_cluster,fraction_single_mothers_ward,geobg2020,geoblk2020,hud_mgr_name,hud_mgr_type,hud_own_effect_dt,hud_own_name,hud_own_type,id,id_census_tract,id_neighborhood_cluster,id_ward,in_dchousing,in_dhcd,in_prescat,income_per_capita_census_tract,income_per_capita_neighborhood_cluster,income_per_capita_ward,labor_participation_census_tract,labor_participation_neighborhood_cluster,labor_participation_ward,latitude,longitude,mar_id,most_recent_reac_score_date,most_recent_reac_score_id,most_recent_reac_score_num,most_recent_topa_date,nearest_metro_station,neighborhood_cluster,neighborhood_cluster_2000,neighborhood_cluster_desc,neighborhood_cluster_desc_2000,nlihc_id,non_violent_crime_count_census_tract,non_violent_crime_count_neighborhood_cluster,non_violent_crime_count_ward,non_violent_crime_rate_census_tract,non_violent_crime_rate_neighborhood_cluster,non_violent_crime_rate_ward,pbca,poverty_rate_census_tract,poverty_rate_neighborhood_cluster,poverty_rate_ward,proj_addre,proj_address_id,proj_ayb,proj_city,proj_eyb,proj_image_url,proj_name,proj_name_addre,proj_owner_type,proj_st,proj_streetview_url,proj_unit_tot_matches,proj_units_assist_max,proj_units_assist_min,proj_units_mar,proj_units_tot,proj_units_tot_mar,psa2012,residential_units_census_tract,residential_units_neighborhood_cluster,residential_units_ward,status,subsidized,subsidy_end_first,subsidy_end_last,subsidy_info_source_property,subsidy_start_first,subsidy_start_last,sum_appraised_value_current_impr,sum_appraised_value_current_land,sum_appraised_value_current_total,topa_count,unique_data_id,update_dtm,violent_crime_count_census_tract,violent_crime_count_neighborhood_cluster,violent_crime_count_ward,violent_crime_rate_census_tract,violent_crime_rate_neighborhood_cluster,violent_crime_rate_ward,ward,ward12,xcoord,ycoord,zip,zip_string,zone_census_tract,zone_neighborhood_cluster,zone_type_census_tract,zone_type_neighborhood_cluster,zone_type_ward,zone_ward,klass,previous_filters
TRUE,,552,-17678468,,648,1100,,752,1388,9/3/2015,ANC 3E,1,,,,,,,19,No,Yes,No,No,No,No,5 - Other Subsidized Property,DC Tract 10.04,DC Tract 10.01,,,,,,,DC39M000054,,,,,,,,0.114696133,0.084655222,,0.182320442,0.186579945,,0.022320442,0.013538311,"DC Tract 10.04, block group 2","DC Tract 10.04, block 2021",Residential One LLC,Profit motivated,,"Episcopal Church Home, Friendship, Inc.",Non-profit,afae715d-0472-4f78-aa6f-740fa7848ddf,,971932e9-8d18-4a7a-bcf1-5f30551a98a8,8b0aa87b-818f-404c-b07e-0be4ba091c09,,,,,93285.6347,91637.81715,,0.57679558,0.612628961,38.94907321,-77.08236855,266144,1/30/2020,e27c88c0-46eb-4f5b-9b25-30df675d74e6,91,,0.23,Cluster 11,Cluster 11,"Friendship Heights, American University Park, Tenleytown","Friendship Heights, American University Park, Tenleytown",NL000120,,,,,,,Yes,,0.069171271,0.07362476,4201 Butterworth Place NW,266144,1969,Washington,1973,http://citizenatlas.dc.gov/mobilevideo/20040726/OQ083015.jpg,Friendship Terrace,Friendship Terrace: 4201 Butterworth Place NW,Religious organization,DC,"http://maps.google.com/maps?z=16&layer=c&cbll=38.94907321,-77.08236855&cbp=11,279.627115951404,,0,2.09",,199,182,201,199,,PSA 202,,5081,45398,Active,Yes,1/1/2023,9/1/2045,19444,2/1/1973,10/1/2010,24863120,4051950,28915070,0,prescat_project,08DEC22:13:26:48,,,,,,,Ward 3,Ward 3,392859.95,142356.03,20016,ZIP 20016,,Cluster 11,,neighborhood_cluster,ward,Ward 3,stay,TRUE
TRUE,,-53977295,-39265450,,-62471241,-30282154,,-62470920,-65615482,9/3/2015,ANC 4C,1,,,,,,,21,No,Yes,No,No,No,No,2 - Expiring Subsidy,DC Tract 25.01,DC Tract 25.01,,,,,,,,,,,,,,,0.492497843,0.508631009,,0.242824931,0.21584706,,0.039000084,0.041682628,"DC Tract 25.01, block group 1","DC Tract 25.01, block 1000",,Individual,,Transitional Housing Corporation,,3fb3391c-6fb2-4b5f-b07f-6cc35525994a,,25077bc7-5a9e-4061-8bad-16ea42914bb6,2b1767b2-d181-4e55-b3f1-ebe95fe9ffd4,,,,,46312.07238,48544.94044,,0.606630849,0.579558514,38.94524957,-77.02675269,252736,,,,,,Cluster 18,Cluster 18,"Brightwood Park, Crestwood, Petworth","Brightwood Park, Crestwood, Petworth",NL000235,,,,,,,No,,0.095843888,0.099502011,4506 Georgia Avenue NW,252736,1924,Washington,1975,http://citizenatlas.dc.gov/mobilevideo/20040728/MS073609.jpg,Partner Arms II,Partner Arms II: 4506 Georgia Avenue NW,Non-profit,DC,"http://maps.google.com/maps?z=16&layer=c&cbll=38.94524957,-77.02675269&cbp=11,6.12872960738128,,0,2.09",,13,13,13,13,,PSA 404,,16926,36396,Active,Yes,7/7/2020,1/3/2023,,1/3/2003,7/7/2005,1820590,247390,2067980,0,prescat_project,03SEP15:17:34:41,,,,,,,Ward 4,Ward 4,397680.84,141928.69,20011,ZIP 20011,,Cluster 18,,neighborhood_cluster,ward,Ward 4,stay,TRUE
TRUE,,779,1045,,1098,1474,,1440,1998,9/3/2015,ANC 6E,1,,,,,,,29,Yes,No,No,No,No,No,1 - At-Risk or Flagged for Follow-up,DC Tract 47.04,DC Tract 47.01,,,,,,,,,,,,,,,0.212452516,0.217613784,,0.173631057,0.083063526,,0.020476235,0.033884113,"DC Tract 47.04, block group 1","DC Tract 47.04, block 1003",W. H. H. Trice & Co,Profit motivated,6/15/2007,Temple Courts / Northwest One Redevelopment Corpor,Non-profit,e3cf6284-b5d7-4234-a25c-5479f80ac4df,,2a99f2ea-65aa-4f20-bc35-c4d13d71e35a,0e4b5e00-481e-4ac6-bc34-a3841639175b,,,,,78460.67006,72722.83953,,0.760400259,0.673476983,38.90291892,-77.01041165,237134,1/23/2006,3cf75387-b242-422b-a0dd-4f874cf1eb9d,41,,,Cluster 08,Cluster 8,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street","Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",NL000291,,,,,,,No,,0.123598629,0.102452458,33 K Street NW,237134,,Washington,,http://citizenatlas.dc.gov/mobilevideo/NO_IMAGE/No_Image_Available.JPG,Temple Courts,Temple Courts: 33 K Street NW,Non-profit,DC,"http://maps.google.com/maps?z=16&layer=c&cbll=38.90291892,-77.01041165&cbp=11,354.754632298705,,0,2.09",,,,,211,,PSA 103,,,59331,Active,No,,,9216,,,109000,16396480,16505480,0,prescat_project,08DEC22:11:55:07,,,,,,,Ward 6,Ward 6,399096.89,137229.34,20001,ZIP 20001,,Cluster 08,,neighborhood_cluster,ward,Ward 6,stay,TRUE
TRUE,,500,-74408664,,1118,1113,,1744,1670,9/3/2015,ANC 1B,1,,,,,,,44,No,Yes,No,No,No,No,2 - Expiring Subsidy,DC Tract 44.02,DC Tract 44,,,,,,,DC39T781002,,,,,,,,0.40605428,0.27258699,,0.109951287,0.199959303,,0.019485038,0.03784847,"DC Tract 44.02, block group 1","DC Tract 44.02, block 1006","Terrific, Inc.",Non-profit,9/28/1981,"Terrific, Inc.",Non-profit,c5583741-41b7-442e-9fed-3ec647752607,,145a2c61-4586-45b1-b8be-00bf848eee39,df8c1d56-4e4e-47bb-a290-9855f5ef20ff,,,,,46095.48202,57968.60471,,0.593713756,0.701519365,38.91530255,-77.02892456,240851,10/18/2021,c4e689dc-bd16-4cc9-a237-7f8d197ba960,67,,0.15,Cluster 03,Cluster 3,"Howard University, Le Droit Park, Cardozo/Shaw","Howard University, Le Droit Park, Cardozo/Shaw",NL000293,,,,,,,Yes,,0.052655996,0.10259106,1222 T Street NW,240851,1924,Washington,1979,http://citizenatlas.dc.gov/mobilevideo/20040818/QI124830.jpg,Terrific Inn,Terrific Inn: 1222 T Street NW,Non-profit,DC,"http://maps.google.com/maps?z=16&layer=c&cbll=38.91530255,-77.02892456&cbp=11,178.603867569184,,0,2.09",,14,14,14,14,,PSA 305,,,47990,Active,Yes,4/1/2022,9/6/2032,,7/1/1985,9/7/2002,835400,1139890,1975290,0,prescat_project,08DEC22:13:26:48,,,,,,,Ward 1,Ward 1,397491.51,138604.37,20009,ZIP 20009,,Cluster 03,,neighborhood_cluster,ward,Ward 1,stay,TRUE
TRUE,,434,1045,,587,1474,,754,1998,9/3/2015,ANC 6D,145,,,,,,,13,No,No,No,No,No,No,5 - Other Subsidized Property,DC Tract 105,DC Tract 105,,,,,,,,,,,,,,,0.485219789,0.217613784,,0.094041967,0.083063526,,0.07627508,0.033884113,"DC Tract 105, block group 3","DC Tract 105, block 3002",,Individual,,,Individual,1bf2a8f6-d786-4aa6-9739-d206b33efa48,,aa35b8b6-e8fe-46b0-be2f-d61c1cdff743,0e4b5e00-481e-4ac6-bc34-a3841639175b,,,,,49220.86078,72722.83953,,0.612038597,0.673476983,38.87810074,-77.01435788,149704,,,,,0.3,Cluster 09,Cluster 9,"Southwest Employment Area, Southwest/Waterfront, Fort McNair, Buzzard Point","Southwest Employment Area, Southwest/Waterfront, Fort McNair, Buzzard Point",NL000145,,,,,,,No,,0.26742227,0.102452458,1004 3rd Street SW; 1005 Delaware Avenue SW; 1006 3rd Street SW; others,149704,1958,Washington,1990,http://citizenatlas.dc.gov/mobilevideo/20041020/OK134946.jpg,"Greenleaf Gardens, Additions & Extensions","Greenleaf Gardens, Additions & Extensions: 1004 3rd Street SW; 1005 Delaware Avenue SW; 1006 3rd Street SW; others",DC government,DC,"http://maps.google.com/maps?z=16&layer=c&cbll=38.8780428,-77.01494781&cbp=11,86.3979491359017,,0,2.09",,235,235,278,278,,PSA 105,,,59331,Active,Yes,,,,,,62131140,36296380,98427520,0,prescat_project,03SEP15:17:34:41,,,,,,,Ward 6,Ward 6,398754.1593,134474.3741,20024,ZIP 20024,,Cluster 09,,neighborhood_cluster,ward,Ward 6,stay,TRUE
TRUE,,-16220981,-26035238,,-149197234,-69508867,,1646,1755,9/3/2015,ANC 5B,1,,,,,,,16,No,Yes,No,No,No,No,2 - Expiring Subsidy,DC Tract 93.01,DC Tract 93.01,,,,,,,DC39T792003,,,,,,,,0.611863956,0.637404896,,0.093994952,0.101676665,,0.0427129,0.055080284,"DC Tract 93.01, block group 1","DC Tract 93.01, block 1010",L. Hayes & Assoc. Inc.,Profit motivated,,Anchor Housing Corp.,Non-profit,e76ecd84-20ec-4e8e-9a8a-b324e506bde9,,c26f7945-a717-4842-813f-f8b20cd35787,9f91ef5e-3c44-408a-8393-f69535943b02,,,,,42853.56171,41407.12347,,0.547628537,0.572633796,38.93179601,-76.98202438,60033,6/21/2021,3a77bd4e-224e-4481-804f-bb3a22ef5c76,84,,,Cluster 22,Cluster 22,"Brookland, Brentwood, Langdon","Brookland, Brentwood, Langdon",NL000023,,,,,,,Yes,,0.177560781,0.151716304,1609 Lawrence Street NE,60033,1905,Washington,1952,http://citizenatlas.dc.gov/mobilevideo/20040619/MJ115935.jpg,Anchor Housing,Anchor Housing: 1609 Lawrence Street NE,Non-profit,DC,"http://maps.google.com/maps?z=16&layer=c&cbll=38.93179601,-76.98202438&cbp=11,171.456888600403,,0,2.09",,9,9,1,9,,PSA 504,,6442,46532,Active,Yes,10/1/2021,12/31/2024,,5/1/1982,12/21/2001,232520,312450,544970,0,prescat_project,08DEC22:13:26:48,,,,,,,Ward 5,Ward 5,401558.58,140435.04,20018,ZIP 20018,,Cluster 22,,neighborhood_cluster,ward,Ward 5,stay,TRUE
TRUE,,866,-74408664,,1032,1113,,1458,1670,9/3/2015,ANC 1C,3,,,,,,,29,No,No,No,No,No,No,5 - Other Subsidized Property,DC Tract 38.02,DC Tract 38,,,,,,,,,,,,,,,0.07432943,0.27258699,,0.162920287,0.199959303,,0.007461277,0.03784847,"DC Tract 38.02, block group 1","DC Tract 38.02, block 1000",,Individual,,Jubilee Housing LP II,,49c7a61c-2db2-4cc9-97f9-0caefe1a67bb,,166f1576-8142-46aa-858e-8dbaca4cb44f,df8c1d56-4e4e-47bb-a290-9855f5ef20ff,,,,,116925.1442,57968.60471,,0.790800907,0.701519365,38.92177023,-77.04071393,235679,,,,,,Cluster 01,Cluster 1,"Kalorama Heights, Adams Morgan, Lanier Heights","Kalorama Heights, Adams Morgan, Lanier Heights",NL000352,,,,,,,No,,0.029561768,0.10259106,1740 Euclid Street NW; 2233 18th Street NW,235679,1915,Washington,1990,http://citizenatlas.dc.gov/mobilevideo/20041003/M3114237.jpg,New Jubilee II,New Jubilee II: 1740 Euclid Street NW; 2233 18th Street NW,Non-profit,DC,"http://maps.google.com/maps?z=16&layer=c&cbll=38.92292091,-77.04040339&cbp=11,262.235800653911,,0,2.09",,70,70,78,70,,PSA 303,,,47990,Active,Yes,11/15/2040,11/15/2040,,11/15/2010,11/15/2010,10938810,1486100,12424910,0,prescat_project,14OCT22:14:52:17,,,,,,,Ward 1,Ward 1,396469.3933,139322.7267,20009,ZIP 20009,,Cluster 01,,neighborhood_cluster,ward,Ward 1,stay,TRUE
TRUE,,-119732828,-74408664,,1173,1113,,1765,1670,9/3/2015,ANC 1B,9,,,,,,,47,No,Yes,No,No,No,No,2 - Expiring Subsidy,DC Tract 37.01,DC Tract 37,,,,,,,DC390001013,,,,,,,,0.294226418,0.27258699,,0.231600204,0.199959303,,0.048538965,0.03784847,"DC Tract 37.01, block group 1","DC Tract 37.01, block 1001","Habitat America, LLC",Profit motivated,3/17/2005,FPW LP,Profit motivated,a61e4c86-6942-47e9-a98c-e345e51ff91e,,72a14ee0-5037-4989-ae00-05ca64923bb2,df8c1d56-4e4e-47bb-a290-9855f5ef20ff,,,,,49070.41053,57968.60471,,0.694022043,0.701519365,38.92260238,-77.03338878,309323,10/16/2018,b58c0788-38bd-4ee7-9aef-e14c4a9da371,82,,0.4,Cluster 02,Cluster 2,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View","Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",NL000102,,,,,,,Yes,,0.132064913,0.10259106,1400 Euclid Street NW; 1402 Euclid Street NW; 1404 Euclid Street NW; others,309323,1978,Washington,1977,http://citizenatlas.dc.gov/mobilevideo/20040912/DC091922.jpg,Faircliff Plaza West,Faircliff Plaza West: 1400 Euclid Street NW; 1402 Euclid Street NW; 1404 Euclid Street NW; others,Non-profit,DC,"http://maps.google.com/maps?z=16&layer=c&cbll=38.92300711,-77.03234344&cbp=11,263.498277334554,,0,2.09",,112,112,112,112,,PSA 304,,,47990,Active,Yes,3/30/2025,12/1/2035,,5/17/1999,12/1/2005,31180260,5004000,36184260,0,prescat_project,08DEC22:13:26:48,,,,,,,Ward 1,Ward 1,397104.6456,139414.8489,20009,ZIP 20009,,Cluster 02,,neighborhood_cluster,ward,Ward 1,stay,TRUE
TRUE,,-119732828,-74408664,,1173,1113,,1765,1670,9/3/2015,ANC 1A,1,,,,,,,38,No,No,No,No,No,No,5 - Other Subsidized Property,DC Tract 37.02,DC Tract 37,,,,,,,,,,,,,,,0.294226418,0.27258699,,0.231600204,0.199959303,,0.048538965,0.03784847,"DC Tract 37.02, block group 2","DC Tract 37.02, block 2000",Oakes Management,Profit motivated,,,Individual,5a8290a2-89d8-4f31-8eef-8678c53abc4e,,72a14ee0-5037-4989-ae00-05ca64923bb2,df8c1d56-4e4e-47bb-a290-9855f5ef20ff,,,,,49070.41053,57968.60471,,0.694022043,0.701519365,38.92612426,-77.03482813,234318,,,,3/14/2019,0.28,Cluster 02,Cluster 2,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View","Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",NL000358,,,,,,,No,,0.132064913,0.10259106,1468 Harvard Street NW,234318,1914,Washington,1999,http://citizenatlas.dc.gov/mobilevideo/20040921/DL131945.jpg,Harvard,Harvard: 1468 Harvard Street NW,For-profit,DC,"http://maps.google.com/maps?z=16&layer=c&cbll=38.92612426,-77.03482813&cbp=11,179.644916023661,,0,2.09",,,,,9,,PSA 304,,,47990,Active,No,,,,,,1882720,246590,2129310,1,prescat_project,03SEP15:17:34:41,,,,,,,Ward 1,Ward 1,396979.98,139805.85,20009,ZIP 20009,,Cluster 02,,neighborhood_cluster,ward,Ward 1,stay,TRUE
TRUE,,-257215501,-100564452,,1023,-29124020,,1305,1296,9/3/2015,ANC 8A,1,,,,,,,48,No,No,No,No,No,No,5 - Other Subsidized Property,DC Tract 74.07,DC Tract 74.07,,,,,,,,,,,,,,,0.90270029,0.868880812,,0.034032582,0.03304858,,0.214349476,0.162566757,"DC Tract 74.07, block group 3","DC Tract 74.07, block 3001",,Individual,,Second Family Home,,5657c957-7b03-4273-afb4-ee738a65d5b6,,192c5204-df71-42a5-bcd5-cb0920b37359,c17b775c-853a-4b58-bcd1-c0a91edbbb93,,,,,20863.83676,23441.89576,,0.408614149,0.448563181,38.85941096,-76.99227071,45892,,,,,0.37,Cluster 37,Cluster 37,"Sheridan, Barry Farm, Buena Vista","Sheridan, Barry Farm, Buena Vista",NL000265,,,,,,,No,,0.448337425,0.296864592,2612 Bowen Road SE,45892,1952,Washington,1955,http://citizenatlas.dc.gov/mobilevideo/20041007/M7120631.jpg,Second Family Home,Second Family Home: 2612 Bowen Road SE,Resident owner,DC,"http://maps.google.com/maps?z=16&layer=c&cbll=38.85941096,-76.99227071&cbp=11,342.402376710778,,0,2.09",,36,36,2,36,,PSA 703,,3874,42106,Active,Yes,,,,,,99510,119830,219340,0,prescat_project,03SEP15:17:34:41,,,,,,,Ward 8,Ward 8,400670.85,132399.6,20020,ZIP 20020,,Cluster 37,,neighborhood_cluster,ward,Ward 8,stay,TRUE
